SummaryID,BusinessID,PeriodStart,PeriodEnd,TotalRevenue,TotalExpenses,NetIncome,TotalAssets,TotalLiabilities
1,1,2024-08-01,2024-08-31,15000,3000,12000,250000,50000
2,2,2024-08-01,2024-08-31,8000,7000,1000,50000,15000
3,3,2024-08-01,2024-08-31,10000,2000,8000,120000,30000
4,1,2024-08-01,2024-08-31,15000,3000,12000,250000,50000
5,2,2024-08-01,2024-08-31,8000,7000,1000,50000,15000
6,3,2024-08-01,2024-08-31,10000,2000,8000,120000,30000
7,1,2024-08-01,2024-08-31,15000,3000,12000,50000,50000
8,2,2024-08-01,2024-08-31,8000,7000,1000,20000,15000
9,3,2024-08-01,2024-08-31,10000,2000,8000,120000,30000
10,1,2024-08-01,2024-08-31,15000,3000,12000,50000,50000
11,2,2024-08-01,2024-08-31,8000,7000,1000,20000,15000
12,3,2024-08-01,2024-08-31,10000,2000,8000,120000,30000
13,1,2024-08-01,2024-08-31,15000,3000,12000,50000,50000
14,2,2024-08-01,2024-08-31,8000,7000,1000,20000,15000
15,3,2024-08-01,2024-08-31,10000,2000,8000,120000,30000
